pairkey,map,min,p1,mean,p99,max
IMG_210204_095113_0000_,S_fused,0.017677340656518936,0.09363779053092003,0.3388322591781616,0.6847364008426666,0.8788169026374817
IMG_210204_095113_0000_,NDVI,5.364418029785156e-07,1.1563301086425781e-05,0.3750537037849426,0.9999858140945435,0.9999992847442627
IMG_210204_095113_0000_,GNDVI,5.066394805908203e-07,2.2970139980316162e-05,0.3415057063102722,0.997029110789299,0.9999993443489075
IMG_210204_095113_0000_,NDRE,6.556510925292969e-07,3.638118505477905e-05,0.4229808747768402,0.9899842590093613,0.9999992847442627
IMG_210204_095113_0000_,BRVI,0.0,0.0,0.854060173034668,1.0,1.0
IMG_210204_095113_0000_,LR,0.0,0.0,0.026741085574030876,0.310428686439991,0.5650724768638611
IMG_210204_095113_0000_,sobel,0.0,0.0,0.09563734382390976,0.3336457535624504,0.9999996423721313
IMG_210204_095113_0000_,log,0.0,0.0003100672402069904,0.06017247587442398,0.24917613342404366,0.9999999403953552
IMG_210204_095113_0000_,structure_tensor,0.0,1.6141084469012412e-08,0.0983627438545227,0.9999926686286926,1.0
IMG_210204_095113_0000_,morph_gradient,0.0,0.0,0.1500001847743988,0.40392157435417175,0.9333333373069763
IMG_210204_095115_0001_,S_fused,0.022053249180316925,0.07515538670122623,0.3826773762702942,0.6874159723520279,0.8438851833343506
IMG_210204_095115_0001_,NDVI,4.76837158203125e-07,8.046627044677734e-07,0.47621971368789673,0.9999916702508926,0.9999995231628418
IMG_210204_095115_0001_,GNDVI,4.76837158203125e-07,7.152557373046875e-07,0.4525124430656433,0.9997642040252686,0.9999995231628418
IMG_210204_095115_0001_,NDRE,4.76837158203125e-07,9.5367431640625e-07,0.44596436619758606,0.9977464377880096,0.9999995231628418
IMG_210204_095115_0001_,BRVI,0.0,0.0,0.7543289065361023,1.0,1.0
IMG_210204_095115_0001_,LR,0.0,0.0,0.08673838526010513,0.5310868471860886,0.6931471824645996
IMG_210204_095115_0001_,sobel,0.0,0.0,0.07685112208127975,0.28584516048431396,0.9999997019767761
IMG_210204_095115_0001_,log,0.0,0.00047805270878598094,0.04969289153814316,0.21656078472733498,0.9999999403953552
IMG_210204_095115_0001_,structure_tensor,0.0,7.135209756370386e-08,0.06936977803707123,0.9999808222055435,1.0
IMG_210204_095115_0001_,morph_gradient,0.0,0.003921568859368563,0.12733443081378937,0.3921568691730499,0.9686274528503418
IMG_210204_095117_0002_,S_fused,0.024123946204781532,0.06470291875302792,0.3658722937107086,0.700756311416626,0.8621822595596313
IMG_210204_095117_0002_,NDVI,4.76837158203125e-07,1.341104507446289e-06,0.4465147852897644,0.9999977350234985,0.9999995231628418
